# Residual cross-sections stored in JENDL-4.0/HE
# p + C-12

# Production of neutrons
# E_in [eV]   sigma[barns]
# E_in [eV]   sigma[barns]
5.000000e+06  8.068697e-06
6.000000e+06  2.003100e-01
7.000000e+06  2.693400e-01
8.000000e+06  2.913400e-01
9.000000e+06  2.987700e-01
1.000000e+07  2.633701e-01
1.200000e+07  1.825700e-01
1.400000e+07  1.314898e-01
1.600000e+07  1.097701e-01
1.800000e+07  9.885816e-02
2.000000e+07  6.734994e-02
2.134600e+07  6.538975e-02
2.200000e+07  6.437816e-02
2.400000e+07  6.215209e-02
2.532020e+07  6.085394e-02
2.600000e+07  6.017082e-02
2.800000e+07  5.677115e-02
3.000000e+07  5.304717e-02
3.500000e+07  4.358790e-02
4.000000e+07  3.630312e-02
4.500000e+07  3.068099e-02
5.000000e+07  2.599499e-02
6.000000e+07  1.871500e-02
7.000000e+07  1.362701e-02
8.000000e+07  9.867998e-03
9.000000e+07  7.207707e-03
1.000000e+08  5.303300e-03
1.100000e+08  3.913195e-03
1.200000e+08  2.901007e-03
1.300000e+08  2.243601e-03
1.400000e+08  1.814599e-03
1.500000e+08  1.613800e-03
2.000000e+08  1.143799e-03


# Production of N-12
# E_in [eV]   sigma[barns]
2.000000e+07  4.411800e-05
2.134600e+07  2.192668e-04
2.200000e+07  3.072698e-04
2.400000e+07  6.884821e-04
2.532020e+07  5.845913e-04
2.600000e+07  5.331302e-04
2.800000e+07  3.921801e-04
3.000000e+07  3.582800e-04
3.500000e+07  4.405595e-04
4.000000e+07  3.598104e-04
4.500000e+07  2.121501e-04
5.000000e+07  3.389699e-04
6.000000e+07  1.755401e-04
7.000000e+07  1.013699e-04
8.000000e+07  1.160401e-04
9.000000e+07  9.889793e-05
1.000000e+08  9.546099e-05
1.100000e+08  8.536704e-05
1.200000e+08  7.207506e-05
1.300000e+08  5.824700e-05
1.400000e+08  6.271391e-05
1.500000e+08  6.713204e-05
2.000000e+08  4.799310e-05


# Production of gamma-rays
# E_in [eV]   sigma[barns]
4.811500e+06  0.000000e+00
5.000000e+06  0.000000e+00
5.000000e+06  1.058399e-05
6.000000e+06  2.003100e-01
7.000000e+06  2.693500e-01
8.000000e+06  2.913400e-01
9.000000e+06  2.987700e-01
1.000000e+07  2.633798e-01
1.200000e+07  1.825798e-01
1.400000e+07  1.315802e-01
1.600000e+07  1.114102e-01
1.800000e+07  1.021100e-01
2.000000e+07  6.737787e-02
2.134600e+07  6.822195e-02
2.200000e+07  6.863184e-02
2.400000e+07  7.172506e-02
2.532020e+07  7.680788e-02
2.600000e+07  7.942501e-02
2.800000e+07  9.317803e-02
3.000000e+07  1.053200e-01
3.500000e+07  1.251900e-01
4.000000e+07  1.345099e-01
4.500000e+07  1.377400e-01
5.000000e+07  1.378499e-01
6.000000e+07  1.319000e-01
7.000000e+07  1.242901e-01
8.000000e+07  1.203900e-01
9.000000e+07  1.183899e-01
1.000000e+08  1.143501e-01
1.100000e+08  1.127201e-01
1.200000e+08  1.166200e-01
1.300000e+08  1.111400e-01
1.400000e+08  1.106799e-01
1.500000e+08  1.134399e-01
2.000000e+08  9.973946e-02


