# Residual cross-sections stored in JENDL-4.0/HE
# p + O-16

# Production of neutrons
# E_in [eV]   sigma[barns]
8.000000e+07  8.496991e-03
9.000000e+07  8.004346e-03
1.000000e+08  7.569603e-03
1.100000e+08  7.381223e-03
1.200000e+08  7.551588e-03
1.300000e+08  7.322007e-03
1.400000e+08  6.925650e-03
1.500000e+08  7.701709e-03
2.000000e+08  7.724033e-03


# Production of Be-9
# E_in [eV]   sigma[barns]
5.545800e+06  0.000000e+00
6.000000e+06  0.000000e+00
7.000000e+06  0.000000e+00
8.000000e+06  0.000000e+00
9.000000e+06  0.000000e+00
1.000000e+07  0.000000e+00
1.100000e+07  0.000000e+00
1.200000e+07  0.000000e+00
1.300000e+07  0.000000e+00
1.400000e+07  0.000000e+00
1.500000e+07  0.000000e+00
1.600000e+07  0.000000e+00
1.800000e+07  0.000000e+00
2.000000e+07  0.000000e+00
2.200000e+07  0.000000e+00
2.400000e+07  0.000000e+00
2.600000e+07  0.000000e+00
2.800000e+07  0.000000e+00
3.000000e+07  0.000000e+00
3.200000e+07  0.000000e+00
3.400000e+07  0.000000e+00
3.600000e+07  0.000000e+00
3.800000e+07  0.000000e+00
4.000000e+07  0.000000e+00
4.200000e+07  0.000000e+00
4.400000e+07  0.000000e+00
4.600000e+07  0.000000e+00
4.800000e+07  0.000000e+00
5.000000e+07  0.000000e+00
5.500000e+07  0.000000e+00
6.000000e+07  0.000000e+00
6.500000e+07  0.000000e+00
7.000000e+07  0.000000e+00
8.000000e+07  0.000000e+00
9.000000e+07  0.000000e+00
1.000000e+08  0.000000e+00
1.100000e+08  0.000000e+00
1.200000e+08  0.000000e+00
1.300000e+08  0.000000e+00
1.400000e+08  0.000000e+00
1.500000e+08  1.674285e-03
2.000000e+08  1.677107e-03


# Production of Be-10
# E_in [eV]   sigma[barns]
3.987300e+07  0.000000e+00
4.000000e+07  9.495234e-08
4.200000e+07  1.554376e-06
4.400000e+07  2.951070e-06
4.600000e+07  4.291100e-06
4.800000e+07  5.579560e-06
5.000000e+07  6.821268e-06
5.500000e+07  7.629608e-05
6.000000e+07  1.404805e-04
6.500000e+07  5.199455e-04
7.000000e+07  8.769419e-04
8.000000e+07  1.536005e-03
9.000000e+07  1.565104e-03
1.000000e+08  1.596298e-03
1.100000e+08  9.854291e-04
1.200000e+08  4.049204e-04
1.300000e+08  4.433079e-04
1.400000e+08  4.810633e-04
1.500000e+08  5.182629e-04
2.000000e+08  6.100500e-04


# Production of Be-11
# E_in [eV]   sigma[barns]
5.784900e+07  0.000000e+00
6.000000e+07  1.576444e-07
6.500000e+07  5.073007e-07
7.000000e+07  8.362879e-07
8.000000e+07  1.443742e-06
9.000000e+07  2.012673e-06
1.000000e+08  2.545202e-06
1.100000e+08  3.970713e-06
