point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
145,22.67,0.0,0.0,27.599999999999998,,,0.79,0.79
146,22.11,0.0,0.0,24.45,,,0.71,0.71
147,21.51,0.0,0.0,21.41,,,0.64,0.64
148,20.89,0.0,0.0,18.5,,,0.57,0.57
149,20.26,0.0,0.0,15.75,,,0.51,0.51
150,19.65,0.0,0.0,13.22,,,0.46,0.46
151,19.02,0.0,0.0,11.0,,,0.41,0.41
152,18.36,0.0,0.0,9.05,,,0.37,0.37
153,17.67,0.0,0.0,7.33,,,0.34,0.34
154,16.94,0.0,0.0,5.890000000000001,,,0.31,0.31
155,16.21,0.0,0.0,4.67,,,0.27999999999999997,0.27999999999999997
156,15.46,0.0,0.0,3.59,,,0.25999999999999995,0.25999999999999995
157,14.66,0.0,0.0,2.68,,,0.24000000000000002,0.24000000000000002
158,13.83,0.0,0.0,1.8699999999999999,,,0.23,0.23
159,12.94,0.0,0.0,1.16,,,0.21000000000000002,0.21000000000000002
160,11.98,0.0,0.0,0.54,,,0.2,0.2
