target,target_z,target_a,energy_MeV,areal_mg_cm2,density_g_cm3,thickness_mm,nuclear_areal_density_cm2,n_protons,n_inelastic,n_c11,n_n13,n_o15,mean_continuous_loss_MeV,mean_inelastic_energy_MeV,mean_c11_energy_MeV,mean_n13_energy_MeV,mean_o15_energy_MeV,physics_list,geant4_version,seed,threads,selected
C12,6,12,12,20,2,0.1,1.00369012667e+21,20000,5,0,0,0,0.728332410966,12,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167203,8,0
C12,6,12,12,10,2,0.05,5.01845063333e+20,20000,2,0,0,0,0.359535960705,12,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167204,8,1
C12,6,12,14,80,2,0.4,4.01476050667e+21,20000,26,0,0,0,2.7238312339,13.4706022045,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167400,8,0
C12,6,12,14,60,2,0.3,3.01107038e+21,20000,15,0,0,0,1.99679864095,13.7181499129,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167401,8,0
C12,6,12,14,40,2,0.2,2.00738025333e+21,20000,10,0,0,0,1.3007912853,14,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167402,8,0
C12,6,12,14,20,2,0.1,1.00369012667e+21,20000,1,0,0,0,0.637673964028,14,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167403,8,0
C12,6,12,14,10,2,0.05,5.01845063333e+20,20000,2,0,0,0,0.315562183467,14,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167404,8,1
C12,6,12,16,80,2,0.4,4.01476050667e+21,20000,33,0,0,0,2.39356470657,15.6113959805,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167600,8,0
C12,6,12,16,60,2,0.3,3.01107038e+21,20000,20,0,0,0,1.76540785878,15.7850049424,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167601,8,0
C12,6,12,16,40,2,0.2,2.00738025333e+21,20000,21,0,0,0,1.15632310724,16,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167602,8,0
C12,6,12,16,20,2,0.1,1.00369012667e+21,20000,4,0,0,0,0.568972006862,16,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167603,8,0
C12,6,12,16,10,2,0.05,5.01845063333e+20,20000,3,0,0,0,0.282485501102,16,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167604,8,1
C12,6,12,18,80,2,0.4,4.01476050667e+21,20000,31,0,0,0,2.14790770317,17.3761467812,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167800,8,0
C12,6,12,18,60,2,0.3,3.01107038e+21,20000,25,0,0,0,1.58750838376,18,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167801,8,0
C12,6,12,18,40,2,0.2,2.00738025333e+21,20000,24,0,0,0,1.0477739338,18,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167802,8,0
C12,6,12,18,20,2,0.1,1.00369012667e+21,20000,7,0,0,0,0.515940236749,18,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167803,8,0
C12,6,12,18,10,2,0.05,5.01845063333e+20,20000,7,0,0,0,0.256310800853,18,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167804,8,1
C12,6,12,20,80,2,0.4,4.01476050667e+21,20000,36,0,0,0,1.95205021158,19.6502515547,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1168000,8,0
C12,6,12,20,60,2,0.3,3.01107038e+21,20000,27,0,0,0,1.44600974381,20,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1168001,8,0
C12,6,12,20,40,2,0.2,2.00738025333e+21,20000,20,0,0,0,0.953561635032,20,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1168002,8,0
C12,6,12,20,20,2,0.1,1.00369012667e+21,20000,3,0,0,0,0.472268433967,20,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1168003,8,1
C12,6,12,22,80,2,0.4,4.01476050667e+21,20000,35,0,0,0,1.79084861878,22,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1168200,8,0
C12,6,12,22,60,2,0.3,3.01107038e+21,20000,20,0,0,0,1.32953007789,22,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1168201,8,0
C12,6,12,22,40,2,0.2,2.00738025333e+21,20000,17,0,0,0,0.878678139289,22,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1168202,8,0
C12,6,12,22,20,2,0.1,1.00369012667e+21,20000,7,0,0,0,0.435912842685,22,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1168203,8,1
C12,6,12,24,80,2,0.4,4.01476050667e+21,20000,32,0,0,0,1.65649054654,24,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1168400,8,0
C12,6,12,24,60,2,0.3,3.01107038e+21,20000,15,0,0,0,1.23483496889,24,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1168401,8,0
C12,6,12,24,40,2,0.2,2.00738025333e+21,20000,12,0,0,0,0.81754835554,24,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1168402,8,0
C12,6,12,24,20,2,0.1,1.00369012667e+21,20000,8,0,0,0,0.405579681249,24,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1168403,8,1
C12,6,12,26,80,2,0.4,4.01476050667e+21,20000,25,0,0,0,1.54649210783,25.9910094813,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1168600,8,0
C12,6,12,26,60,2,0.3,3.01107038e+21,20000,21,0,0,0,1.15344162364,26,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1168601,8,0
C12,6,12,26,40,2,0.2,2.00738025333e+21,20000,26,0,0,0,0.763530660743,26,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1168602,8,0
C12,6,12,26,20,2,0.1,1.00369012667e+21,20000,5,0,0,0,0.379772164928,26,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1168603,8,1
C12,6,12,28,80,2,0.4,4.01476050667e+21,20000,27,0,0,0,1.45165794682,28,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1168800,8,0
C12,6,12,28,60,2,0.3,3.01107038e+21,20000,29,0,0,0,1.08267111707,28,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1168801,8,0
C12,6,12,28,40,2,0.2,2.00738025333e+21,20000,20,0,0,0,0.717974883995,28,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1168802,8,0
C12,6,12,28,20,2,0.1,1.00369012667e+21,20000,4,0,0,0,0.357754742254,28,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1168803,8,1
C12,6,12,30,80,2,0.4,4.01476050667e+21,20000,33,0,0,0,1.37000114137,30,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1169000,8,0
C12,6,12,30,60,2,0.3,3.01107038e+21,20000,37,0,0,0,1.02046002002,30,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1169001,8,0
C12,6,12,30,40,2,0.2,2.00738025333e+21,20000,22,0,0,0,0.678206846342,30,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1169002,8,0
C12,6,12,30,20,2,0.1,1.00369012667e+21,20000,4,0,0,0,0.337745970327,30,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1169003,8,1
C12,6,12,35,80,2,0.4,4.01476050667e+21,20000,30,0,0,0,1.20045200859,35,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1169500,8,0
C12,6,12,35,60,2,0.3,3.01107038e+21,20000,22,0,0,0,0.897385981836,35,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1169501,8,0
C12,6,12,35,40,2,0.2,2.00738025333e+21,20000,18,0,0,0,0.595900081993,35,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1169502,8,0
C12,6,12,35,20,2,0.1,1.00369012667e+21,20000,6,0,0,0,0.296598976378,35,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1169503,8,1
C12,6,12,40,80,2,0.4,4.01476050667e+21,20000,39,0,0,0,1.07383243229,40,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1170000,8,0
C12,6,12,40,60,2,0.3,3.01107038e+21,20000,17,0,0,0,0.80421375816,40,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1170001,8,0
C12,6,12,40,40,2,0.2,2.00738025333e+21,20000,18,0,0,0,0.538949636899,40,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1170002,8,0
C12,6,12,40,20,2,0.1,1.00369012667e+21,20000,6,0,0,0,0.266342640297,40,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1170003,8,1
C12,6,12,45,80,2,0.4,4.01476050667e+21,20000,34,0,0,0,0.974210608609,45,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1170500,8,0
C12,6,12,45,60,2,0.3,3.01107038e+21,20000,23,0,0,0,0.730633372852,45,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1170501,8,0
C12,6,12,45,40,2,0.2,2.00738025333e+21,20000,11,0,0,0,0.48582352734,45,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1170502,8,1
C12,6,12,50,80,2,0.4,4.01476050667e+21,20000,29,4,0,0,0.894770571116,50,50,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1171000,8,0
C12,6,12,50,60,2,0.3,3.01107038e+21,20000,24,0,0,0,0.670730988632,50,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1171001,8,0
C12,6,12,50,40,2,0.2,2.00738025333e+21,20000,12,4,0,0,0.445134513113,50,50,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1171002,8,1
C12,6,12,55,80,2,0.4,4.01476050667e+21,20000,19,3,0,0,0.829078699725,55,55,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1171500,8,0
C12,6,12,55,60,2,0.3,3.01107038e+21,20000,36,5,0,0,0.621480812505,54.0584188702,55,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1171501,8,0
C12,6,12,55,40,2,0.2,2.00738025333e+21,20000,13,1,0,0,0.412662368266,55,55,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1171502,8,1
C12,6,12,60,80,2,0.4,4.01476050667e+21,20000,22,3,0,0,0.776237818383,60,60,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1172000,8,0
C12,6,12,60,60,2,0.3,3.01107038e+21,20000,18,1,0,0,0.578379116421,60,60,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1172001,8,0
C12,6,12,60,40,2,0.2,2.00738025333e+21,20000,16,1,0,0,0.385145513461,60,60,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1172002,8,1
C12,6,12,65,80,2,0.4,4.01476050667e+21,20000,23,1,0,0,0.727415657647,65,65,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1172500,8,0
C12,6,12,65,60,2,0.3,3.01107038e+21,20000,22,2,0,0,0.542788614287,65,65,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1172501,8,0
C12,6,12,65,40,2,0.2,2.00738025333e+21,20000,17,6,0,0,0.36164645787,65,65,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1172502,8,0
C12,6,12,65,20,2,0.1,1.00369012667e+21,20000,3,0,0,0,0.18145954802,65,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1172503,8,1
C12,6,12,70,80,2,0.4,4.01476050667e+21,20000,18,2,0,0,0.68177609569,70,70,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1173000,8,0
C12,6,12,70,60,2,0.3,3.01107038e+21,20000,16,1,0,0,0.51178984959,70,70,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1173001,8,0
C12,6,12,70,40,2,0.2,2.00738025333e+21,20000,11,0,0,0,0.342388035169,70,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1173002,8,1
C12,6,12,75,80,2,0.4,4.01476050667e+21,20000,35,6,0,0,0.646932270945,75,75,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1173500,8,0
C12,6,12,75,60,2,0.3,3.01107038e+21,20000,16,2,0,0,0.485603520222,75,75,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1173501,8,1
C12,6,12,80,80,2,0.4,4.01476050667e+21,20000,24,2,0,0,0.615453216218,80,80,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1174000,8,0
C12,6,12,80,60,2,0.3,3.01107038e+21,20000,14,2,0,0,0.461386366319,80,80,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1174001,8,1
C12,6,12,85,80,2,0.4,4.01476050667e+21,20000,30,6,0,0,0.588623720832,83.022147713,85,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1174500,8,0
C12,6,12,85,60,2,0.3,3.01107038e+21,20000,20,4,0,0,0.441178030784,85,85,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1174501,8,0
C12,6,12,85,40,2,0.2,2.00738025333e+21,20000,12,2,0,0,0.293459501021,85,85,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1174502,8,1
C12,6,12,90,80,2,0.4,4.01476050667e+21,20000,19,3,0,0,0.563749651672,90,90,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1175000,8,0
C12,6,12,90,60,2,0.3,3.01107038e+21,20000,15,3,0,0,0.421757622131,90,90,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1175001,8,1
C12,6,12,95,80,2,0.4,4.01476050667e+21,20000,25,4,0,0,0.539656690278,95,95,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1175500,8,0
C12,6,12,95,60,2,0.3,3.01107038e+21,20000,11,0,0,0,0.405601965823,95,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1175501,8,1
C12,6,12,100,80,2,0.4,4.01476050667e+21,20000,18,1,0,0,0.519995537008,100,100,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1176000,8,0
C12,6,12,100,60,2,0.3,3.01107038e+21,20000,11,3,0,0,0.390092529247,100,100,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1176001,8,1
C12,6,12,105,80,2,0.4,4.01476050667e+21,20000,21,2,0,0,0.500850424965,105,105,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1176500,8,0
C12,6,12,105,60,2,0.3,3.01107038e+21,20000,15,4,0,0,0.377603571778,105,105,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1176501,8,1
C12,6,12,110,80,2,0.4,4.01476050667e+21,20000,11,4,0,0,0.485379427787,110,110,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1177000,8,1
C12,6,12,115,80,2,0.4,4.01476050667e+21,20000,22,3,0,0,0.469683779991,115,115,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1177500,8,0
C12,6,12,115,60,2,0.3,3.01107038e+21,20000,10,3,0,0,0.351611514537,115,115,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1177501,8,1
C12,6,12,120,80,2,0.4,4.01476050667e+21,20000,20,2,0,0,0.455698207862,120,120,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1178000,8,0
C12,6,12,120,60,2,0.3,3.01107038e+21,20000,12,1,0,0,0.340704691187,120,120,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1178001,8,1
N14,7,14,5,80,0.81,0.987654320988,3.44122329143e+21,20000,2,0,0,0,4.99862239884,5,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1179500,8,0
N14,7,14,5,60,0.81,0.740740740741,2.58091746857e+21,20000,0,0,0,0,4.99949246388,0,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1179501,8,0
N14,7,14,5,40,0.81,0.493827160494,1.72061164571e+21,20000,0,0,0,0,4.41390890813,0,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1179502,8,0
