target,target_z,target_a,energy_MeV,areal_mg_cm2,density_g_cm3,thickness_mm,nuclear_areal_density_cm2,n_protons,n_inelastic,n_c11,n_n13,n_o15,mean_continuous_loss_MeV,mean_inelastic_energy_MeV,mean_c11_energy_MeV,mean_n13_energy_MeV,mean_o15_energy_MeV,physics_list,geant4_version,seed,threads,batch_count,stopping_condition
N14,7,14,45,20,0.81,0.246913580247,8.60305822857e+20,100000,32,5,0,0,0.241109542719,45.0,45.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3835000,8,1,proton_cap
N14,7,14,50,40,0.81,0.493827160494,1.72061164571e+21,100000,83,2,8,0,0.443684040246,50.0,50.0,50.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3840000,8,1,proton_cap
N14,7,14,55,20,0.81,0.246913580247,8.60305822857e+20,100000,53,0,8,0,0.20570413217100003,55.0,0.0,55.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3845000,8,1,proton_cap
N14,7,14,60,20,0.81,0.246913580247,8.60305822857e+20,100000,29,0,1,0,0.191933515271,60.0,0.0,60.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3850000,8,1,proton_cap
N14,7,14,65,40,0.81,0.493827160494,1.72061164571e+21,100000,81,2,8,0,0.360758406026,65.0,65.0,65.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3855000,8,1,proton_cap
N14,7,14,70,40,0.81,0.493827160494,1.72061164571e+21,100000,52,0,2,0,0.34037963261100007,70.0,0.0,70.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3860000,8,1,proton_cap
N14,7,14,75,40,0.81,0.493827160494,1.72061164571e+21,100000,63,0,11,0,0.323047656534,75.0,0.0,75.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3865000,8,1,proton_cap
N14,7,14,80,40,0.81,0.493827160494,1.72061164571e+21,100000,64,0,7,0,0.30751047126,80.0,0.0,80.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3870000,8,1,proton_cap
N14,7,14,85,40,0.81,0.493827160494,1.72061164571e+21,100000,47,1,8,0,0.293639500398,85.0,85.0,85.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3875000,8,1,proton_cap
N14,7,14,90,60,0.81,0.740740740741,2.58091746857e+21,100000,75,1,7,0,0.4214812220529999,90.0,90.0,90.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3880000,8,1,proton_cap
N14,7,14,95,60,0.81,0.740740740741,2.58091746857e+21,100000,74,1,11,0,0.404422497598,95.0,95.0,95.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3885000,8,1,proton_cap
N14,7,14,100,40,0.81,0.493827160494,1.72061164571e+21,100000,43,1,5,0,0.259787695304,100.0,100.0,100.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3890000,8,1,proton_cap
N14,7,14,105,60,0.81,0.740740740741,2.58091746857e+21,100000,82,1,10,0,0.376497568618,104.018741655,105.0,105.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3895000,8,1,proton_cap
N14,7,14,110,60,0.81,0.740740740741,2.58091746857e+21,100000,66,1,6,0,0.36311106196,110.0,110.0,110.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3900000,8,1,proton_cap
N14,7,14,115,60,0.81,0.740740740741,2.58091746857e+21,100000,74,0,10,0,0.351498304865,114.99419386599999,0.0,115.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3905000,8,1,proton_cap
N14,7,14,120,80,0.81,0.987654320988,3.44122329143e+21,100000,92,1,6,0,0.45398275494100004,119.342223469,120.0,120.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3910000,8,1,proton_cap
O16,8,16,5,5,1.14,0.0438596491228,1.8819189875e+20,100000,0,0,0,0,0.344848724771,0.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3825000,8,1,below_threshold
O16,8,16,5.5,5,1.14,0.0438596491228,1.8819189875e+20,100000,1,0,0,0,0.319776389353,5.5,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3825500,8,1,proton_cap
O16,8,16,6,5,1.14,0.0438596491228,1.8819189875e+20,100000,2,0,0,0,0.298382496098,6.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3826000,8,1,proton_cap
O16,8,16,7,5,1.14,0.0438596491228,1.8819189875e+20,100000,2,0,0,0,0.264088636502,7.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3827000,8,1,proton_cap
