replica_id,distance_D,smoothing_lambda,sigma_5_MeV_mb,sigma_5.5_MeV_mb,sigma_6_MeV_mb,sigma_7_MeV_mb,sigma_8_MeV_mb,sigma_9_MeV_mb,sigma_10_MeV_mb,sigma_11_MeV_mb,sigma_12_MeV_mb,sigma_14_MeV_mb,sigma_16_MeV_mb,sigma_18_MeV_mb,sigma_20_MeV_mb,sigma_22_MeV_mb,sigma_24_MeV_mb,sigma_26_MeV_mb,sigma_28_MeV_mb,sigma_30_MeV_mb,sigma_35_MeV_mb,sigma_40_MeV_mb,sigma_45_MeV_mb,sigma_50_MeV_mb,sigma_55_MeV_mb,sigma_60_MeV_mb,sigma_65_MeV_mb,sigma_70_MeV_mb,sigma_75_MeV_mb,sigma_80_MeV_mb,sigma_85_MeV_mb,sigma_90_MeV_mb,sigma_95_MeV_mb,sigma_100_MeV_mb,sigma_105_MeV_mb,sigma_110_MeV_mb,sigma_115_MeV_mb,sigma_120_MeV_mb,sigma_125_MeV_mb,sigma_130_MeV_mb,sigma_135_MeV_mb,sigma_140_MeV_mb,sigma_145_MeV_mb,sigma_150_MeV_mb
436,0.06692763161976158,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.114492157255447,9.182674091499086,16.76929672108482,29.007979462799103,44.70131802563496,60.032120404336446,71.17693417750955,75.43844443145494,76.7998684536635,77.79388647456254,77.00285785827211,73.04867224595968,69.19781751750713,68.32216988230391,68.48301968056036,67.96142435574124,66.13267628844841,65.13801064810934,65.28665586008087,63.721331529505186,60.140376126446995,57.188784544031954,55.5036935200799,54.482174240168256,53.515417344535194,52.38283392741878,51.0091206205858,49.498166648670626,47.98552847641486,46.569078751904065,45.24882541880163,44.003326831162305
437,0.08325386881278637,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.899529651275632,8.228498338816483,14.707056060833667,25.758170282612877,40.16160020384367,53.2249793148632,61.70897987007496,64.92387283407537,67.03162612013969,67.48510556368873,66.41714551310643,64.18331154898327,62.22699665089209,60.88692244205205,59.605621205189635,58.89401711092513,57.9397025315401,56.96605382169868,55.838659100346064,54.0446345583736,51.939989649807714,50.388981451776694,49.10523962342204,47.81188128607003,46.37216588186371,44.82592050989021,43.258595973593074,41.78516002352938,40.51472842790414,39.58079961802099,39.256367752922586,39.862893138210715
438,0.07973665883688254,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.556298921353763,9.582096041506093,16.98220485903898,29.30855377538823,45.86189705036004,61.383002767583456,70.87405552229764,74.3347902097175,76.637949459449,78.68679960721347,77.50884457854428,73.26975804324597,69.22271261948671,67.36020702431215,66.97397952547507,67.12310084198828,66.66260951337763,65.79297172322745,64.49966765345326,62.275761524623896,59.424997868030204,56.78891855768322,54.67425780633732,52.99350848024883,51.60571030041835,50.35010622851436,49.097055934872664,47.825176255267266,46.53832957669623,45.23344057768991,43.88308271488584,42.457378757557045
439,0.07476673990840946,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.951949682487562,8.762932760348034,16.138862784452733,28.375492508033663,44.105072418475714,59.07335634628405,69.48247898661629,73.20467720246538,74.97507091226845,75.96358109883948,74.84876477685064,71.96758062138625,69.49335320327687,69.26783975983135,68.97046810935586,67.6832602355203,66.0321236351882,65.32534634487784,64.41004037755914,61.83569389625224,57.97573170011696,55.070524166030374,53.49967904051206,52.67419051123487,52.014002170593784,51.20784662199473,50.081382767188224,48.71628033757286,47.24836312172781,45.82405886960399,44.66610934840208,43.999515434329965
440,0.16790816918829185,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.596522655875734,9.573357531318225,16.738564828596843,28.349570491638794,43.16468209186083,57.598349357946546,67.64061688177254,71.06776130280915,72.34871901020765,74.45997640696197,74.23496895370546,70.65155502652158,67.57819112344048,66.07947840514177,64.36289852379186,62.538400560630194,61.893731333602425,62.216123291655016,62.0299733940201,60.69072928334279,58.20010788101086,55.31321611485393,53.28570385407419,51.92675612529795,50.77870604627847,49.66438185812715,48.49936704697365,47.286786094970445,46.048984518655644,44.785341186050125,43.41517219290723,41.84925282264049
441,0.07129617839187202,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2048749546309185,8.709694552913643,15.378341428693743,26.86507096784137,41.94884962503994,55.88570215030414,65.47997178976154,69.69646325527803,72.71776154031393,72.9492335612416,71.61335636013375,68.83901083611696,65.60842445043797,64.40170751136336,64.82568547875158,64.65723474760708,63.61999219393607,63.16193956910307,61.8709421010444,58.076121315584146,54.309607373131314,52.339085626021955,51.02612019797818,49.918439309310614,48.91116067498918,47.92534468185055,46.900151132605934,45.8115670133326,44.64563715944448,43.36655714702103,41.85221206641198,39.980134393369575
442,0.0928658870914751,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.556473401682575,9.366074149296296,16.213877910659072,27.39495558674129,42.29665659308923,57.38282423558935,68.0590045003594,71.7133472722848,72.66722814950116,73.01643356368903,72.30594531244837,70.01935980535173,66.34871109856914,64.40954394269454,64.48703353106143,65.55448652873797,63.798328351522834,61.73210704816505,60.33119907365134,58.47992552682274,56.26877528768597,54.01066845181128,52.12310273989373,50.510362116570214,48.982378610525046,47.46597906247007,45.94164266343838,44.479390902752236,43.16128826250529,42.10355850100759,41.586684415048076,41.934839698061595
443,0.13706304041183914,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.488251308011267,9.882615411828908,17.97641621418683,31.017494664705037,47.61908160911096,63.34964659342682,73.76397777495322,77.7732435495331,79.65272010127887,79.32878897253669,78.8092871755016,77.35807940989119,74.42196826669996,72.34269790462871,72.04253413987553,72.65084793046098,71.44690756987522,69.61902646395652,67.66340512815567,65.11405451018749,61.44739262025949,57.91296861822957,55.736871765326825,54.53323022325241,53.69029727999189,52.89874985935467,51.961013490514176,50.81766455397142,49.44687066732212,47.777310181571785,45.54157045249927,42.49455555333326
444,0.11632004946156878,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4164707505963245,8.042603022728787,15.356482865427079,27.238327299994594,41.67625810062429,54.61158159452416,63.741643549654086,67.6605691271503,69.45400876485598,71.06390992587758,69.7395739085221,66.17118006326889,64.20374165966503,63.65232143752692,61.981214656433316,60.31432826454133,59.904423194751644,60.126806962042785,59.19372336705365,56.170861718130745,52.37763711876396,50.06427805138188,49.04208604973348,48.476972858912646,47.70340123851521,46.615419271920494,45.26195042644124,43.750925191377355,42.194618270271896,40.714329275468266,39.50326334795153,38.75515774476409
445,0.062464621311871825,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.631046101169829,9.470862070163827,16.385577664790446,28.00134976737806,43.465884420782,58.14343634820918,68.2453913398515,72.34208586160013,74.33156170106898,75.29050395443893,74.52895201115857,71.47834149316535,68.46090976766291,67.03683229368035,65.48274769046552,64.15141396061871,63.47060488308349,63.53005839163287,62.30274212522793,58.86828204518061,55.06737447533877,52.91793307127722,51.908053007090025,51.27919918390429,50.503259817442185,49.50775627065325,48.337602136798814,47.060830029163405,45.7459890318064,44.44490659368812,43.165669602090134,41.90597791727597
