channel_id,target,residual,threshold_MeV,energy_MeV,sigma_mb
p_C12_x_C11,C12,C11,17.9,39.85809682804675,87.8233816903221
p_C12_x_C11,C12,C11,17.9,40.10016694490818,87.90354808811503
p_C12_x_C11,C12,C11,17.9,40.342237061769616,87.96960813612134
p_C12_x_C11,C12,C11,17.9,40.58430717863105,88.02423755174186
p_C12_x_C11,C12,C11,17.9,40.826377295492485,88.05698423563516
p_C12_x_C11,C12,C11,17.9,41.068447412353926,88.06446973300865
p_C12_x_C11,C12,C11,17.9,41.31051752921536,88.05291453058052
p_C12_x_C11,C12,C11,17.9,41.552587646076795,88.03773143327427
p_C12_x_C11,C12,C11,17.9,41.79465776293823,88.00889820417422
p_C12_x_C11,C12,C11,17.9,42.03672787979966,87.95643970678393
p_C12_x_C11,C12,C11,17.9,42.278797996661105,87.91332523039631
p_C12_x_C11,C12,C11,17.9,42.52086811352254,87.85110371509741
p_C12_x_C11,C12,C11,17.9,42.76293823038397,87.7816615713688
p_C12_x_C11,C12,C11,17.9,43.00500834724541,87.69858443652429
p_C12_x_C11,C12,C11,17.9,43.24707846410684,87.62714912377494
p_C12_x_C11,C12,C11,17.9,43.48914858096828,87.5306755858695
p_C12_x_C11,C12,C11,17.9,43.73121869782972,87.43212590685296
p_C12_x_C11,C12,C11,17.9,43.97328881469115,87.31560129506394
p_C12_x_C11,C12,C11,17.9,44.215358931552586,87.20168516238218
p_C12_x_C11,C12,C11,17.9,44.45742904841402,87.09813832573353
p_C12_x_C11,C12,C11,17.9,44.69949916527546,86.97258955229547
p_C12_x_C11,C12,C11,17.9,44.941569282136896,86.86420995808062
p_C12_x_C11,C12,C11,17.9,45.18363939899833,86.73993927699428
p_C12_x_C11,C12,C11,17.9,45.425709515859765,86.63443696538809
p_C12_x_C11,C12,C11,17.9,45.6677796327212,86.52168836159669
p_C12_x_C11,C12,C11,17.9,45.90984974958264,86.41510743311096
p_C12_x_C11,C12,C11,17.9,46.151919866444075,86.28733675599156
p_C12_x_C11,C12,C11,17.9,46.39398998330551,86.18060424534178
p_C12_x_C11,C12,C11,17.9,46.636060100166944,86.07234869917664
p_C12_x_C11,C12,C11,17.9,46.87813021702838,85.95842491700826
p_C12_x_C11,C12,C11,17.9,47.12020033388982,85.86357042317721
p_C12_x_C11,C12,C11,17.9,47.362270450751254,85.75375351027638
p_C12_x_C11,C12,C11,17.9,47.60434056761269,85.6543027907131
p_C12_x_C11,C12,C11,17.9,47.84641068447412,85.5468953040704
p_C12_x_C11,C12,C11,17.9,48.08848080133556,85.46347583587232
p_C12_x_C11,C12,C11,17.9,48.330550918197,85.36636663238684
p_C12_x_C11,C12,C11,17.9,48.57262103505843,85.26643222191674
p_C12_x_C11,C12,C11,17.9,48.81469115191987,85.18852065374809
p_C12_x_C11,C12,C11,17.9,49.0567612687813,85.09804416882449
p_C12_x_C11,C12,C11,17.9,49.298831385642735,85.01706763446437
p_C12_x_C11,C12,C11,17.9,49.54090150250418,84.9401140125793
p_C12_x_C11,C12,C11,17.9,49.78297161936561,84.87500569826761
p_C12_x_C11,C12,C11,17.9,50.025041736227045,84.79608834567412
p_C12_x_C11,C12,C11,17.9,50.26711185308848,84.72884182393057
p_C12_x_C11,C12,C11,17.9,50.509181969949914,84.66545666128388
p_C12_x_C11,C12,C11,17.9,50.751252086811355,84.61827552279095
p_C12_x_C11,C12,C11,17.9,50.99332220367279,84.56114263328871
p_C12_x_C11,C12,C11,17.9,51.235392320534224,84.51520757115084
p_C12_x_C11,C12,C11,17.9,51.47746243739566,84.46846249556499
p_C12_x_C11,C12,C11,17.9,51.71953255425709,84.43130113648792
p_C12_x_C11,C12,C11,17.9,51.961602671118534,84.39550733648775
p_C12_x_C11,C12,C11,17.9,52.20367278797997,84.35425255487067
p_C12_x_C11,C12,C11,17.9,52.4457429048414,84.31772480498029
p_C12_x_C11,C12,C11,17.9,52.68781302170284,84.29180324036608
p_C12_x_C11,C12,C11,17.9,52.92988313856427,84.28975253122674
p_C12_x_C11,C12,C11,17.9,53.17195325542571,84.24691601761057
p_C12_x_C11,C12,C11,17.9,53.41402337228715,84.23263378943373
p_C12_x_C11,C12,C11,17.9,53.65609348914858,84.2104861298834
p_C12_x_C11,C12,C11,17.9,53.898163606010016,84.19919950608144
p_C12_x_C11,C12,C11,17.9,54.14023372287145,84.19425389949757
p_C12_x_C11,C12,C11,17.9,54.38230383973289,84.1810695835162
p_C12_x_C11,C12,C11,17.9,54.624373956594326,84.17065514982431
p_C12_x_C11,C12,C11,17.9,54.86644407345576,84.17885080633557
p_C12_x_C11,C12,C11,17.9,55.108514190317194,84.179280875872
p_C12_x_C11,C12,C11,17.9,55.35058430717863,84.18460050214864
p_C12_x_C11,C12,C11,17.9,55.59265442404007,84.18204550918506
p_C12_x_C11,C12,C11,17.9,55.834724540901504,84.17927731303423
p_C12_x_C11,C12,C11,17.9,56.07679465776294,84.17267981213406
p_C12_x_C11,C12,C11,17.9,56.31886477462437,84.15006581851537
p_C12_x_C11,C12,C11,17.9,56.56093489148581,84.13891963088807
p_C12_x_C11,C12,C11,17.9,56.80300500834725,84.12491182347256
p_C12_x_C11,C12,C11,17.9,57.04507512520868,84.09525473868011
p_C12_x_C11,C12,C11,17.9,57.28714524207012,84.05868297858586
p_C12_x_C11,C12,C11,17.9,57.52921535893155,84.01026628895485
p_C12_x_C11,C12,C11,17.9,57.771285475792986,83.94410055633685
