replica_id,distance_D,smoothing_lambda,sigma_5_MeV_mb,sigma_5.5_MeV_mb,sigma_6_MeV_mb,sigma_7_MeV_mb,sigma_8_MeV_mb,sigma_9_MeV_mb,sigma_10_MeV_mb,sigma_11_MeV_mb,sigma_12_MeV_mb,sigma_14_MeV_mb,sigma_16_MeV_mb,sigma_18_MeV_mb,sigma_20_MeV_mb,sigma_22_MeV_mb,sigma_24_MeV_mb,sigma_26_MeV_mb,sigma_28_MeV_mb,sigma_30_MeV_mb,sigma_35_MeV_mb,sigma_40_MeV_mb,sigma_45_MeV_mb,sigma_50_MeV_mb,sigma_55_MeV_mb,sigma_60_MeV_mb,sigma_65_MeV_mb,sigma_70_MeV_mb,sigma_75_MeV_mb,sigma_80_MeV_mb,sigma_85_MeV_mb,sigma_90_MeV_mb,sigma_95_MeV_mb,sigma_100_MeV_mb,sigma_105_MeV_mb,sigma_110_MeV_mb,sigma_115_MeV_mb,sigma_120_MeV_mb,sigma_125_MeV_mb,sigma_130_MeV_mb,sigma_135_MeV_mb,sigma_140_MeV_mb,sigma_145_MeV_mb,sigma_150_MeV_mb
204,0.08764134021790959,300.0,0.0,0.0,0.0,0.0,0.0,0.051251645402185506,0.5029436340486256,1.314822361045539,2.585052267265779,7.176287647335278,15.027309506169816,23.65104484176859,28.611133959411124,29.345142549912673,28.53122701983709,27.947012607117035,27.777030483406655,28.331231274185992,29.252260799888997,27.635860766102034,24.855141731525105,22.445218018564145,20.64610351577779,18.89029435821993,17.23310974160903,15.867631576399868,14.731515275609683,13.87706615646099,13.200224246120936,12.687356877153062,12.282674655386968,11.843695295185203,11.356190750930903,10.896992025382659,10.530440125704036,10.254208439000783,10.052670832679636,9.9111828865666,9.81646950413065,9.758953793540561,9.739988391930979,9.763875415371423
205,0.09741559934232695,300.0,0.0,0.0,0.0,0.0,0.0,0.04307329210579242,0.452883037183351,1.232916135282677,2.4976992415750066,7.210421208188118,15.280336715750138,23.801894562863136,28.59322876413793,29.561595809183583,28.809382303660346,27.925266561818628,27.889408648716863,28.47456700202208,29.792202004103608,28.194652447982243,24.94680757691336,22.25296991549954,20.32664939308354,18.90029412669856,17.66844766751048,16.52948489952698,15.505045127468195,14.573451750766278,13.846013390334535,13.205363523283477,12.495573841139715,11.842973713242738,11.299748006940051,10.874517810038434,10.566120938364989,10.343320788946833,10.173319783573112,10.034412010687753,9.90831892034616,9.775832018120656,9.611485236557652,9.389949446863112
206,0.24017745621242642,300.0,0.0,0.0,0.0,0.0,0.0,0.056186714468826636,0.5627683723533949,1.4889663912191082,2.952322760993742,8.250798105102167,17.182967245009948,26.674303076322648,32.01715380583776,32.57469731216934,31.154486554712634,30.3001459638064,30.538919917384685,31.218553840762677,32.22742799108303,30.04362686451708,26.49872082812112,23.97287856794773,22.31277038276357,20.77755995846265,19.12359652142791,17.449071294521637,16.155616040370816,15.240828633716454,14.619117102559423,14.139135721112822,13.71887765488602,13.176767200763441,12.562294918404909,11.981920441877067,11.506729259045446,11.128105450516248,10.82393662796225,10.580396599906443,10.386710376729111,10.242658913687736,10.185622020828395,10.263079971427729
207,0.23631192252944563,300.0,0.0,0.0,0.0,0.0,0.0,0.053984134751647705,0.501871609156865,1.2709390938757787,2.4389666583305516,6.518097567946186,13.421599658847922,21.257946187471113,26.060994012857797,27.088591476637756,26.656285644843233,26.097017940860006,25.752784694832837,26.284956335184635,28.1361653246124,26.95198872944834,23.93248817558433,21.491710566357995,19.929996570316728,19.05029606487684,18.28495931551588,16.895018211668866,15.084825373071043,13.575832797732664,12.560255222143601,11.985884578180231,11.825011498644725,11.605559021119696,11.273217336433824,10.92060368917713,10.616448019683329,10.358249911253205,10.128638140179667,9.913201905871464,9.699001898552018,9.468893661209474,9.187115466574372,8.818068360264853
208,0.2725059967778135,300.0,0.0,0.0,0.0,0.0,0.0,0.06643988604509966,0.6301868530692493,1.6148724036543036,3.128440547495911,8.538305879573198,17.92100774428493,28.434223277294176,34.533644447776325,35.33892329407257,34.10064126592383,33.45387579498899,33.70875888858,34.040699073904435,34.55394783885433,32.190792042643935,28.306145306251935,25.191062569861646,23.051091178170697,21.536578517602667,20.421779119062784,19.210422131819673,17.87022031090221,16.62963649495548,15.57629566437226,14.703545449152745,14.158843588924976,13.8681805555885,13.543250345381868,13.149093395064781,12.727593162290425,12.325863884221693,11.9781429322936,11.6780511403719,11.410939069361188,11.159120310796864,10.889294200373165,10.567236593775036
209,0.05275085587142244,300.0,0.0,0.0,0.0,0.0,0.0,0.04855028839894842,0.486792048401503,1.2887459581807381,2.5565364557791077,7.167121944999535,15.154861363617561,24.13049523081207,29.37294814937072,30.068683504447794,29.157462004804493,28.539649755458253,28.30544657776399,28.79754161910029,29.729637770202896,28.23675731953801,25.320999531631667,22.74469786696237,20.710660056893275,19.103734192507645,17.83582926058383,16.56009396600318,15.328765812240958,14.318761671367586,13.51745908222035,12.902640049162057,12.483733236772553,12.145389414484157,11.806604562836545,11.473036525993106,11.161537820638147,10.868944287725338,10.589439789106377,10.323866207174309,10.07437282696214,9.84516933281735,9.64930630533262,9.501161873435253
210,0.11597094287125072,300.0,0.0,0.0,0.0,0.0,0.0,0.04711414562607443,0.49247783294394787,1.3358803031890256,2.6935568344517113,7.581865821869127,15.567086532349633,23.750644260098895,28.3958988485619,29.482546075523338,29.031495349370545,28.486095130171844,28.259080257427062,28.639117643939688,29.68914199112857,28.331879132335096,25.190047995068223,22.324343236547357,20.504744863538768,19.436290446518633,18.47381318512614,17.19641300625028,16.0046074983498,14.97936223541131,13.998067449053078,13.195266798417686,12.638099399194893,12.259508774058178,11.907257284813431,11.568859659830496,11.265532067874728,11.000130919107777,10.770692346237093,10.573134602977271,10.403150773486908,10.258409442195193,10.143311344617867,10.06380222660946
211,0.11328166496407692,100.0,0.0,0.0,0.0,0.0,0.0,0.057108009619787445,0.5410879453336669,1.3855827777792697,2.6855808244549095,7.470784707208743,16.02019867253187,24.866654974455603,29.81269268849168,30.566425491832224,29.267067437417026,28.49589034652748,28.690247045648487,29.30877922309667,30.66579314959292,29.12113949942728,25.916149080974005,22.767269513951213,20.658899941135648,19.314681105763366,18.14913590952608,16.93814750796804,15.946875692718187,14.833355627067425,13.640714528664516,12.763164539620075,12.296742087563464,11.918972489877179,11.47158987029209,11.041940655310963,10.725458941599081,10.513427126800288,10.376499520726197,10.287610264552708,10.221171192626725,10.140561783123493,9.963503394581874,9.604009833664623
212,0.08214929449009489,300.0,0.0,0.0,0.0,0.0,0.0,0.059843653793556946,0.5505110882179322,1.3855052216463433,2.647248339039343,7.054722364278537,14.488047588114638,22.52871264002308,27.117543500693834,27.812337899072585,26.955331841631253,26.341912932852082,26.280567808234508,26.634699467978088,27.415875099413196,26.04786541081135,23.60445573299824,21.265890276320622,19.36986105569484,18.048641539132632,17.010877388060717,15.918441772142938,14.873927655926508,13.876123646521714,12.866045406075978,12.038838617319277,11.536602361213975,11.154157921643693,10.814068202986087,10.530061171419092,10.314504344107375,10.142229623074234,9.985202650920925,9.833581651493624,9.682074234867027,9.520764449129006,9.321304758945061,9.053433407549978
213,0.09985456610024325,300.0,0.0,0.0,0.0,0.0,0.0,0.043387877539532785,0.4535605069168118,1.2305934988148823,2.486610257515136,7.157650295223953,15.303215874597356,24.269012704861687,29.383577002763666,30.079072528039614,29.047032329189594,28.32058932502424,28.161500612232118,28.748551411495438,30.059054666038104,28.546126172501705,25.16993954027451,22.142494885067965,20.55599831632018,19.692037380868133,18.756172682207403,17.46408114068177,15.863757381844456,14.550509155817554,13.68724048234973,13.057702909137072,12.557792043795306,12.117165724324664,11.634331311177958,11.16612727094553,10.784070401342763,10.48754905430233,10.260510854603158,10.085105481937854,9.944273967514402,9.825811786639479,9.732569063424643,9.670949224218369
