replica_id,distance_D,smoothing_lambda,sigma_5_MeV_mb,sigma_5.5_MeV_mb,sigma_6_MeV_mb,sigma_7_MeV_mb,sigma_8_MeV_mb,sigma_9_MeV_mb,sigma_10_MeV_mb,sigma_11_MeV_mb,sigma_12_MeV_mb,sigma_14_MeV_mb,sigma_16_MeV_mb,sigma_18_MeV_mb,sigma_20_MeV_mb,sigma_22_MeV_mb,sigma_24_MeV_mb,sigma_26_MeV_mb,sigma_28_MeV_mb,sigma_30_MeV_mb,sigma_35_MeV_mb,sigma_40_MeV_mb,sigma_45_MeV_mb,sigma_50_MeV_mb,sigma_55_MeV_mb,sigma_60_MeV_mb,sigma_65_MeV_mb,sigma_70_MeV_mb,sigma_75_MeV_mb,sigma_80_MeV_mb,sigma_85_MeV_mb,sigma_90_MeV_mb,sigma_95_MeV_mb,sigma_100_MeV_mb,sigma_105_MeV_mb,sigma_110_MeV_mb,sigma_115_MeV_mb,sigma_120_MeV_mb,sigma_125_MeV_mb,sigma_130_MeV_mb,sigma_135_MeV_mb,sigma_140_MeV_mb,sigma_145_MeV_mb,sigma_150_MeV_mb
624,0.13902629424563623,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27320476272951,7.291443925903049,12.200238580810979,19.936467477426024,32.1496750204843,46.61554008684791,60.1692151515574,78.97018832222783,84.38765042485683,84.00930892537053,81.69322729304045,81.22604468127837,79.29583454201307,73.27287045996513,71.16275992149943,66.24362202259302,63.01994306111745,60.098148712183495,59.645335966445835,57.939775765607735,57.25690888892844,55.6722191053292,53.64354972328052,52.242803440033875,51.20070675990865,50.08698109735649,48.94346154811974,47.914641737625985,47.09566619138472,46.429598366633684,45.82752799353723
625,0.23610603635627478,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3449455805176065,7.6694213168039616,12.716502221259294,20.420318407580357,32.90029332318836,47.52075533817072,62.228597603284165,81.51657947543957,87.89504220852899,86.33427010095266,84.08391221046728,83.72960954247127,81.73068540469723,75.12917876202856,72.92224823855928,72.99910635537258,68.17044059782953,60.47820910465678,60.59894029505938,61.77484171387315,61.24663579394462,59.2175059578514,56.956977358687745,55.46937414826812,54.33421078546228,53.015319667764885,51.66368706056711,50.571705491248586,49.86182895677444,49.07449917816184,47.640772960116344
626,0.2126334415855479,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.431401872534785,7.883249798873624,12.938571644132674,20.993194279292474,33.90110719050326,49.21515594401153,63.82656091892955,84.00164697940934,90.16527134308735,88.51074432677309,87.02168855075804,86.40724157943421,84.33278149127634,78.14781076269108,76.78508098771869,74.18703485296076,69.08043979418909,64.21665715695481,60.69845873393175,59.713560201735156,59.912850307238365,59.038621213500676,57.40417367767201,55.83560802916034,54.511687913722,53.43968885636141,52.56512782420093,51.822680217183475,51.09077344575924,50.01810509439545,48.23037396176917
627,0.12371820892299269,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.302863468887589,7.653544389219362,12.881713569742653,20.80877786728749,33.575884757091195,48.76729143973716,62.58927135803904,82.84288100979323,88.36529526182234,87.52514151623402,85.25051452779084,84.78490589030696,83.36195926054756,77.02449741525389,74.75028490840204,72.23361267294518,67.53117638656074,64.59185745389715,64.87160140232236,63.030342825724006,60.05817684128172,58.09726093460477,56.73767868068744,55.284586605347,53.927351346685235,52.933613255914146,52.14570097761088,51.317240633192135,50.239450043367455,48.80916378259443,46.963242254779445
628,0.16322072751065025,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.404025868333791,7.604088056980852,12.404484440831279,20.185044477815048,32.72716517927333,47.521671123022045,61.007570149717786,81.07196198137018,87.1535013380209,85.3203913826188,83.70028608304703,82.87285346022699,81.06545278486573,75.01730254669802,71.4276203908746,69.33454828466567,66.6669754874537,62.78206792949329,60.79765364323638,59.0532214753625,58.34225961131462,57.29855343631795,55.7563308213655,54.05298609688263,52.42673917538984,51.03739051318573,49.89305015025343,48.96902734397735,48.29091559074958,48.07247586790379,48.58022748911704
629,0.16463625329156137,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4026363208244266,7.643384539161664,12.486477730748685,20.254056300489726,32.77888725180826,47.69992658995706,61.81542822096982,81.4054775129801,87.37768506098388,85.80048226911886,83.39807671222708,83.52316970169795,81.07533398823998,75.30122534195412,72.87636166888042,70.00583669444812,66.52747675377015,63.67020044103969,62.73220067339324,60.19829098357285,59.45055142303012,58.71310788074162,57.12169827433438,54.76736674511393,52.43447318516833,50.791241701767674,49.78956902782574,49.24492259719196,48.98535706051975,48.81196936702523,48.520901387678606
630,0.11426803642378174,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3164108819590308,7.50562372084603,12.543778680677967,20.48696762357155,32.74084875569702,47.14309021923249,60.70541591474861,80.29970833155703,86.12674070486663,85.11892638109846,82.63928190008285,82.23360501133902,81.07727220134788,74.50322957009472,72.73453597653571,71.57422510015415,65.740896789687,60.819342128031074,60.846480902499145,58.89941736409214,57.84389180482239,57.41929661575765,56.711383278692104,55.29892053023791,53.591805906311194,52.04035594075091,50.60574965533645,49.14605591627801,47.724934254125074,47.14478933537532,48.38895939657771
631,0.3258493164020503,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9236419114106058,7.889993911513058,12.039073268223998,21.395189460197777,33.05473881629806,47.96438750692965,62.0961821526997,82.34101063206741,87.79146565341703,87.1767851771608,85.49968984562027,84.28782312869573,83.12233054926189,76.18421124164476,72.43425856844941,64.09573891483552,68.83907730228344,61.3564381555838,68.02746931751275,57.556050839089444,59.23363722830604,59.790174507403634,57.169505007267105,55.44407020270621,54.23751104101134,52.584198911327896,50.93512530734197,50.010616908661056,50.111525569979385,50.0374191948827,48.24569751756863
632,0.17534355762359835,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3624256948526865,7.492033856869658,12.357448247524925,20.368059460982142,32.97693612765887,46.997479873263146,61.06590461761661,80.22632746187858,85.24097529268677,84.6479277446324,83.53352134421459,82.22468008284329,80.80305936189698,74.14813400123445,73.5448727368787,70.30630990239521,66.92322551088826,61.43365192789347,62.75977621169191,61.26931884736559,58.95886925212733,57.286349619732164,56.017106822567655,54.882073692369715,53.7135006175762,52.42150454267224,51.10168929700721,49.883542155814446,48.93973509921448,48.65291938042823,49.471020795341225
633,0.14091353477584365,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.338141296355183,7.5935473986515,12.51896128872536,20.067634728270793,33.20136116388379,47.477123001575094,61.802342095626464,81.51579202724646,87.67377522169144,86.40817319397111,83.99138431341687,83.3971898366541,81.77985929560845,75.322868644352,72.71587859740832,69.04762103480944,65.73508629293741,61.45387353462272,63.13397224117975,61.59372313182951,59.68363252993273,57.40358220851147,55.12590586513345,53.51189425176945,52.34962947279952,51.3118245481052,50.30714464513531,49.30179057845958,48.38869055437925,48.147806465076265,49.292438664373776
