energy_MeV,sigma_sensitivity_mb
73.02170283806343,71.83296540923905
73.26377295492487,71.64606468628187
73.50584307178632,71.46511659758605
73.74791318864774,71.29164252490163
73.98998330550918,71.12715059356063
74.23205342237061,70.9731374473235
74.47412353923205,70.8310903413243
74.7161936560935,70.70248955059591
74.95826377295492,70.58881109301446
75.20033388981636,70.4911474389742
75.44240400667779,70.40800978715843
75.68447412353923,70.33685473551108
75.92654424040067,70.2751525128169
76.1686143572621,70.22038661308571
76.41068447412354,70.17005087569572
76.65275459098497,70.12164746400292
76.89482470784641,70.07268573570617
77.13689482470785,70.020681999822
77.37896494156928,69.96316015580919
77.62103505843072,69.8976532101802
77.86310517529215,69.82170566487333
78.10517529215359,69.73287676971995
78.34724540901503,69.6287446285531
78.58931552587646,69.50691114487954
78.8313856427379,69.36500778858813
79.07345575959933,69.20070215994065
79.31552587646077,69.0117053211061
79.55759599332221,68.79577985882206
79.79966611018364,68.55074863444426
80.04173622704508,68.27450983235725
80.2838063439065,67.9667910603661
80.52587646076795,67.63157389686886
80.76794657762939,67.27342304992871
81.01001669449082,66.89684130328301
81.25208681135226,66.5062562087458
81.49415692821368,66.10600970521678
81.73622704507513,65.70035059139354
81.97829716193657,65.2934297633202
82.220367278798,64.88929811699707
82.46243739565944,64.49190701022673
82.70450751252086,64.10511117641282
82.9465776293823,63.73267398591954
83.18864774624375,63.37827495755881
83.43071786310517,63.04551943358329
83.67278797996661,62.737950345987635
83.91485809682804,62.459062019806794
84.15692821368948,62.21231598032189
84.39899833055092,62.001158755587284
84.64106844741235,61.82904169349894
84.88313856427379,61.69944284384745
85.12520868113522,61.615709460498046
85.36727879799666,61.57741287620178
85.6093489148581,61.58054184109308
85.85141903171953,61.62102583570727
86.09348914858097,61.69485679721009
86.3355592654424,61.79806591294355
86.57762938230384,61.9267031433461
86.81969949916528,62.07681938568604
87.06176961602671,62.24445122536729
87.30383973288815,62.42560825189154
87.54590984974958,62.61626294209498
87.78797996661102,62.812343134103315
88.03005008347246,63.00972713158974
88.27212020033389,63.20424148930711
88.51419031719533,63.39166153740791
88.75626043405676,63.567714703611216
88.9983305509182,63.72808668868696
89.24040066777964,63.86843054184223
89.48247078464107,63.984378668300096
89.72454090150251,64.07155778156479
89.96661101836393,64.12560678755541
90.20868113522538,64.14294412446391
90.45075125208682,64.1245796349207
90.69282136894824,64.0732857098996
90.93489148580969,63.991882649011856
91.17696160267111,63.88322192437704
91.41903171953255,63.75017365479199
91.661101836394,63.5956152815079
91.90317195325542,63.422421479686186
92.14524207011686,63.23345532659385
92.38731218697829,63.03156073605666
92.62938230383973,62.819556158644986
92.87145242070117,62.60022953857485
93.1135225375626,62.376334511359104
93.35559265442404,62.150587820839704
93.59766277128547,61.92566793034092
93.83973288814691,61.704214800270826
94.08180300500835,61.488830803524806
94.32387312186978,61.282082750453036
94.56594323873122,61.08650499690713
94.80801335559265,60.904603611923854
95.05008347245409,60.73885621504636
95.29215358931553,60.590681567495906
95.53422370617696,60.459222043244964
95.7762938230384,60.34334004085112
96.01836393989983,60.24191844830715
96.26043405676127,60.153857972606055
96.50250417362271,60.07807468430729
96.74457429048414,60.01349776913343
96.98664440734558,59.959067479800886
97.228714524207,59.91373328235305
97.47078464106845,59.87645219222021
97.71285475792989,59.84618729608921
97.95492487479132,59.82190645643062
98.19699499165276,59.802581196199526
98.43906510851419,59.78718576180835
98.68113522537563,59.77469636296327
98.92320534223707,59.7640905883625
99.1652754590985,59.75434699657693
99.40734557595994,59.74444488167204
99.64941569282136,59.73336421328228
99.8914858096828,59.72008575092127
100.13355592654425,59.70362254683228
100.37562604340567,59.68355853766088
100.61769616026712,59.65997608183165
100.85976627712854,59.63297475460708
101.10183639398998,59.60265454420607
101.34390651085143,59.56911579680576
101.58597662771285,59.532459163074165
101.8280467445743,59.4927855462611
102.07011686143572,59.4501960518669
102.31218697829716,59.40479193891007
102.5542570951586,59.356674572810896
102.79632721202003,59.3059453799056
103.03839732888147,59.252705803605494
103.2804674457429,59.1970572622111
103.52253756260434,59.13910110839086
103.76460767946578,59.07893859033159
104.00667779632721,59.01667081456645
104.24874791318865,58.952398710483926
