profile_label,quantity,depth_low_mm,depth_high_mm,depth_mm,expected_count_run,expected_count_per_proton,expected_count_per_Gy
C11,production_nuclei,80.0,82.0,81.0,21.658254167059418,2.1658254167059417e-05,2165.8254167059417
C11,production_nuclei,82.0,84.0,83.0,22.05711885204054,2.205711885204054e-05,2205.711885204054
C11,production_nuclei,84.0,86.0,85.0,22.43336636215065,2.243336636215065e-05,2243.336636215065
C11,production_nuclei,86.0,88.0,87.0,22.782477710159295,2.2782477710159295e-05,2278.2477710159296
C11,production_nuclei,88.0,90.0,89.0,23.06294353754606,2.306294353754606e-05,2306.294353754606
C11,production_nuclei,90.0,92.0,91.0,23.169694823622976,2.3169694823622976e-05,2316.9694823622976
C11,production_nuclei,92.0,94.0,93.0,22.921820413575293,2.2921820413575295e-05,2292.182041357529
C11,production_nuclei,94.0,96.0,95.0,22.086111870166913,2.2086111870166913e-05,2208.6111870166915
C11,production_nuclei,96.0,98.0,97.0,20.458190892229492,2.0458190892229493e-05,2045.8190892229493
C11,production_nuclei,98.0,100.0,99.0,17.9826158982558,1.79826158982558e-05,1798.2615898255801
C11,production_nuclei,100.0,102.0,101.0,14.783690180562688,1.4783690180562689e-05,1478.3690180562687
C11,production_nuclei,102.0,104.0,103.0,10.99256189822809,1.099256189822809e-05,1099.256189822809
C11,production_nuclei,104.0,106.0,105.0,6.73739877090787,6.73739877090787e-06,673.739877090787
C11,production_nuclei,106.0,108.0,107.0,2.901867571172858,2.901867571172858e-06,290.1867571172858
C11,production_nuclei,108.0,110.0,109.0,0.7290995987218628,7.290995987218628e-07,72.90995987218628
C11,production_nuclei,110.0,112.0,111.0,0.02101053045968284,2.101053045968284e-08,2.101053045968284
C11,production_nuclei,112.0,114.0,113.0,0.0,0.0,0.0
C11,production_nuclei,114.0,116.0,115.0,0.0,0.0,0.0
C11,production_nuclei,116.0,118.0,117.0,0.0,0.0,0.0
C11,production_nuclei,118.0,120.0,119.0,0.0,0.0,0.0
C11,production_nuclei,120.0,122.0,121.0,0.0,0.0,0.0
O15,production_nuclei,0.0,2.0,1.0,28.156017817434726,2.8156017817434725e-05,2815.6017817434727
O15,production_nuclei,2.0,4.0,3.0,28.22938157288864,2.8229381572888643e-05,2822.938157288864
O15,production_nuclei,4.0,6.0,5.0,28.304310039238146,2.8304310039238147e-05,2830.4310039238144
O15,production_nuclei,6.0,8.0,7.0,28.38156818681653,2.838156818681653e-05,2838.156818681653
O15,production_nuclei,8.0,10.0,9.0,28.462779037744536,2.8462779037744537e-05,2846.2779037744535
O15,production_nuclei,10.0,12.0,11.0,28.550102214552695,2.8550102214552695e-05,2855.0102214552694
O15,production_nuclei,12.0,14.0,13.0,28.646032532673217,2.8646032532673217e-05,2864.6032532673216
O15,production_nuclei,14.0,16.0,15.0,28.753281590430667,2.8753281590430668e-05,2875.3281590430665
O15,production_nuclei,16.0,18.0,17.0,28.874668685511054,2.8874668685511054e-05,2887.466868551105
O15,production_nuclei,18.0,20.0,19.0,29.012984865565528,2.9012984865565528e-05,2901.2984865565527
O15,production_nuclei,20.0,22.0,21.0,29.17086073406528,2.917086073406528e-05,2917.0860734065277
O15,production_nuclei,22.0,24.0,23.0,29.35067433871729,2.935067433871729e-05,2935.067433871729
O15,production_nuclei,24.0,26.0,25.0,29.55443414713452,2.9554434147134518e-05,2955.4434147134516
O15,production_nuclei,26.0,28.0,27.0,29.783466648181065,2.9783466648181064e-05,2978.3466648181065
O15,production_nuclei,28.0,30.0,29.0,30.03780448077525,3.003780448077525e-05,3003.780448077525
O15,production_nuclei,30.0,32.0,31.0,30.315424353022774,3.0315424353022773e-05,3031.542435302277
O15,production_nuclei,32.0,34.0,33.0,30.611702290407067,3.0611702290407065e-05,3061.1702290407065
O15,production_nuclei,34.0,36.0,35.0,30.9194216258018,3.09194216258018e-05,3091.9421625801797
O15,production_nuclei,36.0,38.0,37.0,31.229421186072052,3.122942118607205e-05,3122.942118607205
O15,production_nuclei,38.0,40.0,39.0,31.531697598173658,3.153169759817366e-05,3153.1697598173655
O15,production_nuclei,40.0,42.0,41.0,31.816618486454537,3.181661848645454e-05,3181.6618486454536
O15,production_nuclei,42.0,44.0,43.0,32.075948317660995,3.2075948317661e-05,3207.5948317660996
O15,production_nuclei,44.0,46.0,45.0,32.303645325019744,3.2303645325019745e-05,3230.3645325019743
O15,production_nuclei,46.0,48.0,47.0,32.49661156595157,3.249661156595157e-05,3249.6611565951566
O15,production_nuclei,48.0,50.0,49.0,32.65541354240905,3.265541354240905e-05,3265.541354240905
O15,production_nuclei,50.0,52.0,51.0,32.78453896396441,3.278453896396441e-05,3278.4538963964405
O15,production_nuclei,52.0,54.0,53.0,32.891638303293476,3.2891638303293475e-05,3289.1638303293475
O15,production_nuclei,54.0,56.0,55.0,32.985709988421334,3.2985709988421336e-05,3298.570998842133
O15,production_nuclei,56.0,58.0,57.0,33.07475921167113,3.3074759211671126e-05,3307.475921167113
O15,production_nuclei,58.0,60.0,59.0,33.16349646528817,3.316349646528817e-05,3316.3496465288167
O15,production_nuclei,60.0,62.0,61.0,33.25156520598391,3.325156520598391e-05,3325.1565205983907
O15,production_nuclei,62.0,64.0,63.0,33.333275587178505,3.3333275587178506e-05,3333.3275587178505
O15,production_nuclei,64.0,66.0,65.0,33.40004217929129,3.340004217929129e-05,3340.004217929129
O15,production_nuclei,66.0,68.0,67.0,33.44520121188932,3.344520121188932e-05,3344.520121188932
O15,production_nuclei,68.0,70.0,69.0,33.468553330138725,3.3468553330138726e-05,3346.8553330138725
O15,production_nuclei,70.0,72.0,71.0,33.477685770432714,3.3477685770432714e-05,3347.7685770432713
O15,production_nuclei,72.0,74.0,73.0,33.48554866991384,3.348554866991384e-05,3348.5548669913837
O15,production_nuclei,74.0,76.0,75.0,33.50669159161272,3.350669159161272e-05,3350.669159161272
O15,production_nuclei,76.0,78.0,77.0,33.55562492323921,3.355562492323921e-05,3355.5624923239207
O15,production_nuclei,78.0,80.0,79.0,33.64874531490175,3.3648745314901756e-05,3364.8745314901753
O15,production_nuclei,80.0,82.0,81.0,33.80725860190472,3.380725860190472e-05,3380.725860190472
O15,production_nuclei,82.0,84.0,83.0,34.055888048380254,3.405588804838025e-05,3405.588804838025
O15,production_nuclei,84.0,86.0,85.0,34.41383593598807,3.441383593598807e-05,3441.383593598807
O15,production_nuclei,86.0,88.0,87.0,34.88077932120833,3.4880779321208327e-05,3488.077932120833
O15,production_nuclei,88.0,90.0,89.0,35.4252072175015,3.54252072175015e-05,3542.52072175015
O15,production_nuclei,90.0,92.0,91.0,35.97914489323691,3.59791448932369e-05,3597.9144893236908
O15,production_nuclei,92.0,94.0,93.0,36.44434101599755,3.644434101599755e-05,3644.434101599755
O15,production_nuclei,94.0,96.0,95.0,36.721990473768926,3.6721990473768924e-05,3672.1990473768924
O15,production_nuclei,96.0,98.0,97.0,36.75968027340672,3.675968027340672e-05,3675.968027340672
O15,production_nuclei,98.0,100.0,99.0,36.57067622751783,3.657067622751783e-05,3657.067622751783
O15,production_nuclei,100.0,102.0,101.0,36.11072134023753,3.611072134023753e-05,3611.0721340237533
O15,production_nuclei,102.0,104.0,103.0,34.743745556110355,3.4743745556110354e-05,3474.3745556110352
O15,production_nuclei,104.0,106.0,105.0,30.300798194804763,3.030079819480476e-05,3030.079819480476
O15,production_nuclei,106.0,108.0,107.0,20.279383819891763,2.0279383819891763e-05,2027.9383819891762
O15,production_nuclei,108.0,110.0,109.0,7.893937365282155,7.893937365282154e-06,789.3937365282155
O15,production_nuclei,110.0,112.0,111.0,0.6907339072425057,6.907339072425057e-07,69.07339072425057
O15,production_nuclei,112.0,114.0,113.0,0.0,0.0,0.0
O15,production_nuclei,114.0,116.0,115.0,0.0,0.0,0.0
O15,production_nuclei,116.0,118.0,117.0,0.0,0.0,0.0
O15,production_nuclei,118.0,120.0,119.0,0.0,0.0,0.0
O15,production_nuclei,120.0,122.0,121.0,0.0,0.0,0.0
N13,production_nuclei,0.0,2.0,1.0,3.50323049403548,3.5032304940354797e-06,350.323049403548
N13,production_nuclei,2.0,4.0,3.0,3.5086883633842607,3.5086883633842605e-06,350.86883633842604
N13,production_nuclei,4.0,6.0,5.0,3.5135170326586973,3.513517032658697e-06,351.35170326586973
N13,production_nuclei,6.0,8.0,7.0,3.5174807087554294,3.5174807087554294e-06,351.7480708755429
N13,production_nuclei,8.0,10.0,9.0,3.5203862776945236,3.5203862776945237e-06,352.0386277694524
N13,production_nuclei,10.0,12.0,11.0,3.522063160685861,3.5220631606858607e-06,352.2063160685861
N13,production_nuclei,12.0,14.0,13.0,3.5223518135406193,3.522351813540619e-06,352.2351813540619
N13,production_nuclei,14.0,16.0,15.0,3.521102884641349,3.521102884641349e-06,352.1102884641349
N13,production_nuclei,16.0,18.0,17.0,3.5182017144732436,3.5182017144732438e-06,351.82017144732436
N13,production_nuclei,18.0,20.0,19.0,3.513635691809444,3.513635691809444e-06,351.36356918094435
N13,production_nuclei,20.0,22.0,21.0,3.5075976999662735,3.5075976999662735e-06,350.7597699966273
N13,production_nuclei,22.0,24.0,23.0,3.5005779606954914,3.5005779606954916e-06,350.0577960695491
N13,production_nuclei,24.0,26.0,25.0,3.493373180674794,3.493373180674794e-06,349.3373180674794
N13,production_nuclei,26.0,28.0,27.0,3.4869636835093356,3.4869636835093356e-06,348.69636835093354
N13,production_nuclei,28.0,30.0,29.0,3.4822720405837435,3.4822720405837437e-06,348.22720405837435
